#Clone = Identifier of Drosophila Gene Collection (DGC) cDNA clone (DGC: http://www.fruitfly.org/DGC/index.html)	
#Fold_change (A/B) = Relative fold-amount of spiked-in clone in sample A compared to sample B	
Clone	Fold_change (A/B)
LD22863	1
LD22885	1
LD22902	1
LD22910	1
LD22928	3.5
LD22943	1
LD22945	1
LD22971	1
LD23009	1
LD23052	1
LD23056	1
LD23072	1
LD23102	1
LD23107	1
LD23129	1
LD23131	1
LD23140	1
LD23155	1
LD23181	1
LD23187	1
LD23191	1
LD23193	1
LD23194	1
LD23217	1
LD23236	1
LD23292	1
LD23303	1
LD23308	1
LD23309	1
LD23326	1
LD23336	1
LD23371	1
LD23405	1
LD23434	1
LD23445	1
LD23523	1
LD23533	1
LD23540	3.5
LD23561	1
LD23562	1
LD23569	1
LD23573	1
LD23587	1
LD23595	1
LD23604	1
LD23605	1
LD23608	1
LD23630	1
LD23634	1
LD23637	1
LD23641	1
LD23644	1
LD23647	1
LD23655	1
LD23656	1
LD23667	1
LD23683	1
LD23686	1
LD23703	1
LD23740	1
LD23757	1
LD23767	1
LD23779	1
LD23788	1
LD23793	1
LD23810	1
LD23816	3.5
LD23830	1
LD23835	1.7
LD23842	1
LD23843	1
LD23846	1
LD23856	3.5
LD23868	3.5
LD23870	1
LD23875	1
LD23876	1
LD23881	3.5
LD23883	1
LD23884	3.5
LD23890	1
LD23906	1
LD23922	3.5
LD23951	3.5
LD23953	3.5
LD23954	1
LD23958	3.5
LD23959	1
LD23965	3.5
LD23968	3.5
LD23983	1
LD24014	3.5
LD24026	3.5
LD24034	1
LD24048	1
LD24056	1
LD24073	3.5
LD24077	1
LD24105	1
LD24110	3.5
LD24134	1
LD24139	3.5
LD24159	1
LD24176	1
LD24195	3.5
LD24203	1
LD24213	1
LD24220	1
LD24220	1.7
LD24223	3.5
LD24232	1
LD24239	1
LD24240	3.5
LD24242	1
LD24245	1
LD24257	1
LD24265	3.5
LD24267	1
LD24274	1
LD24308	3.5
LD24316	1
LD24318	1
LD24323	1
LD24340	1
LD24347	1
LD24353	1
LD24355	1
LD24362	3.5
LD24363	1
LD24373	1
LD24380	1.7
LD24387	1
LD24412	1
LD24434	1
LD24440	1.7
LD24448	1
LD24449	1.7
LD24460	3.5
LD24461	1
LD24465	1
LD24467	1
LD24471	1
LD24478	3.5
LD24482	1
LD24485	1.7
LD24490	3.5
LD24492	1.7
LD24495	3.5
LD24507	1
LD24527	1.7
LD24527	3.5
LD24529	3.5
LD24540	3.5
LD24550	3.5
LD24561	1
LD24566	3.5
LD24586	1
LD24604	1
LD24607	3.5
LD24616	1
LD24618	1
LD24627	3.5
LD24628	1
LD24631	1
LD24633	1
LD24634	3.5
LD24639	1.7
LD24646	1
LD24649	1
LD24653	1
LD24657	3.5
LD24658	3.5
LD24661	3.5
LD24662	3.5
LD24671	3.5
LD24677	1
LD24679	1
LD24696	1
LD24702	1
LD24704	3.5
LD24714	1
LD24721	1
LD24726	3.5
LD24737	1
LD24746	3.5
LD24749	3.5
LD24756	3.5
LD24780	1
LD24788	1
LD24793	1.7
LD24810	3.5
LD24832	1
LD24833	1
LD24835	3.5
LD24837	1
LD24839	3.5
LD24841	3.5
LD24865	3.5
LD24870	3.5
LD24878	3.5
LD24887	3.5
LD24889	1
LD24894	1
LD24895	3.5
LD24903	3.5
LD24904	1
LD24910	1
LD24919	3.5
LD24920	1
LD24928	1
LD24929	1
LD24944	3.5
LD24980	3.5
LD24983	3.5
LD25013	1
LD25077	1
LD25083	1
LD25129	1
LD25139	1
LD25151	1
LD25202	1
LD25232	1
LD25239	1
LD25271	1
LD25280	1
LD25288	1
LD25304	1
LD25338	1.7
LD25345	1
LD25351	1
LD25378	1
LD25448	1
LD25464	1
LD25466	1
LD25514	1
LD25526	1
LD25543	1
LD25556	1
LD25561	1
LD25575	1
LD25605	1
LD25626	1
LD25641	1
LD25651	1
LD25692	1
LD25702	1
LD25711	1
LD25748	1
LD25753	1
LD25754	1
LD25772	3.5
LD25781	1
LD25803	1
LD25827	1
LD25830	1
LD25880	1
LD25907	1
LD25913	1
LD25919	1
LD25952	1
LD25963	1
LD26005	1
LD26007	1
LD26050	1
LD26077	1
LD26105	1
LD26135	1
LD26157	1
LD26182	1
LD26231	1
LD26240	1
LD26258	1
LD26265	1
LD26292	1
LD26301	1
LD26327	3.5
LD26392	1
LD26402	1
LD26412	3.5
LD26422	1
LD26426	1
LD26447	1
LD26477	1
LD26511	1
LD26519	1
LD26546	3.5
LD26647	1
LD26657	1
LD26673	1
LD26701	1
LD26737	1
LD26757	1
LD26789	1
LD26791	1
LD26817	1
LD26833	1
LD26837	1
LD26873	1
LD26875	1
LD26904	1
LD26912	1
LD26915	1
LD26976	1
LD26982	1
LD26991	1
LD27021	1
LD27030	1
LD27042	1
LD27045	1
LD27069	1
LD27070	1
LD27084	1
LD27090	1
LD27104	1
LD27111	1
LD27118	1
LD27161	1
LD27166	1
LD27173	1
LD27182	3.5
LD27185	1
LD27203	1
LD27216	1
LD27256	1
LD27273	1
LD27278	1
LD27313	1
LD27322	1
LD27336	1
LD27356	1
LD27358	3.5
LD27370	1
LD27389	1
LD27406	1
LD27413	1
LD27480	1
LD27487	1
LD27504	1
LD27520	1
LD27537	1
LD27553	1
LD27564	1
LD27581	1
LD27582	1
LD27620	1
LD27655	1
LD27656	1
LD27659	1
LD27661	1
LD27667	1
LD27706	1
LD27718	1
LD27719	1
LD27763	1
LD27791	1
LD27810	3.5
LD27836	1
LD27847	1
LD27852	1
LD27857	1
LD27861	1
LD27862	0.285714285714286
LD27873	1
LD27878	0.285714285714286
LD27895	1
LD27917	0.285714285714286
LD27967	1
LD27979	1
LD27988	1
LD28013	1
LD28027	1
LD28033	1
LD28038	0.285714285714286
LD28067	1
LD28068	1
LD28078	1
LD28079	0.285714285714286
LD28084	0.285714285714286
LD28101	1
LD28117	0.285714285714286
LD28119	1
LD28120	1
LD28127	1
LD28132	1
LD28135	0.285714285714286
LD28173	1
LD28216	1
LD28247	1
LD28264	1
LD28275	1
LD28328	1
LD28359	1
LD28370	1
LD28380	1
LD28384	1
LD28404	1
LD28410	1
LD28419	1
LD28427	1
LD28428	0.285714285714286
LD28447	0.285714285714286
LD28458	0.285714285714286
LD28477	1
LD28528	1
LD28544	0.285714285714286
LD28549	3.5
LD28566	3.5
LD28571	1
LD28626	0.285714285714286
LD28629	0.285714285714286
LD28657	1
LD28662	1
LD28671	0.285714285714286
LD28673	0.285714285714286
LD28680	3.5
LD28689	1
LD28757	1
LD28763	1
LD28793	1
LD28808	1
LD28815	1
LD28817	1
LD28822	1
LD28839	1
LD28840	1
LD28893	1
LD28902	1
LD28904	1
LD28927	1
LD28933	1
LD28935	1
LD28949	1
LD28966	1
LD28980	1
LD28985	1
LD28992	1
LD28993	1
LD29039	1
LD29048	1
LD29068	1
LD29078	1
LD29081	1
LD29083	1
LD29090	1
LD29123	1
LD29131	1
LD29155	1
LD29159	1
LD29161	1
LD29166	1
LD29171	1
LD29171	1.7
LD29172	1
LD29184	1
LD29185	1
LD29187	1
LD29208	1
LD29218	1
LD29223	1
LD29226	1
LD29228	1
LD29234	1
LD29238	1
LD29239	1
LD29276	1
LD29280	1
LD29295	1
LD29301	1
LD29322	1
LD29335	1
LD29349	1
LD29352	1
LD29354	1
LD29359	1
LD29371	1
LD29377	1
LD29420	1
LD29423	1
LD29455	1
LD29458	1
LD29476	1
LD29477	1
LD29479	1
LD29481	1
LD29482	1
LD29485	1
LD29525	1
LD29542	1
LD29554	1
LD29556	1
LD29569	1
LD29590	1
LD29596	1
LD29662	1
LD29665	1
LD29716	0.285714285714286
LD29726	1
LD29741	1
LD29802	1
LD29806	1
LD29807	1
LD29815	1
LD29816	1
LD29822	1
LD29830	1
LD29844	1
LD29847	1
LD29875	1
LD29879	1
LD29885	1
LD29892	1
LD29902	1
LD29917	1
LD29918	1
LD29955	1
LD29964	1
LD29969	1
LD29979	1
LD29992	1
LD29995	1
LD30037	1
LD30049	1
LD30050	1
LD30122	1
LD30146	1
LD30155	1
LD30157	1
LD30158	1
LD30165	1
LD30178	1
LD30182	1
LD30246	3.5
LD30271	1
LD30287	1
LD30316	1
LD30318	1
LD30319	1
LD30408	1
LD30416	1
LD30423	1
LD30429	1
LD30439	1
LD30441	1
LD30448	1
LD30467	1
LD30472	1
LD30488	3.5
LD30505	1
LD30509	1
LD30520	1
LD30525	1
LD30543	1
LD30573	1
LD30575	1
LD30602	1
LD30622	1
LD30622	1.7
LD30634	1
LD30655	1
LD30661	1
LD30683	1
LD30725	1
LD30731	1
LD30746	1
LD30817	1
LD30822	1
LD30826	1
LD30829	1
LD30834	1
LD30873	1
LD30889	1
LD30894	1
LD30945	1
LD30953	1
LD30968	0.285714285714286
LD30988	1
LD30995	0.285714285714286
LD31018	1
LD31045	1
LD31046	1
LD31064	1
LD31122	1
LD31138	0.285714285714286
LD31161	1
LD31163	1
LD31194	1
LD31204	1
LD31205	1
LD31211	1
LD31216	1
LD31217	3.5
LD31220	1
LD31228	1
LD31229	3.5
LD31235	3.5
LD31238	1
LD31278	1
LD31286	1
LD31322	1
LD31354	1
LD31377	1
LD31383	1
LD31422	1
LD31436	0.285714285714286
LD31448	1
LD31474	1
LD31525	1
LD31537	1
LD31543	1
LD31554	0.285714285714286
LD31556	1
LD31569	1
LD31570	0.285714285714286
LD31571	1
LD31582	1
LD31631	1
LD31664	1
LD31670	1
LD31673	1
LD31675	0.285714285714286
LD31680	1
LD31742	1
LD31802	1
LD31805	1
LD31822	1
LD31834	1
LD31893	1
LD31957	1
LD31969	1
LD31983	1
LD31988	1
LD31990	1
LD32008	1
LD32009	1
LD32019	1
LD32021	1
LD32037	0.285714285714286
LD32040	1
LD32066	1
LD32068	1
LD32080	1
LD32088	1
LD32106	1
LD32109	1
LD32130	1
LD32148	1
LD32155	1
LD32196	1
LD32234	1
LD32255	1
LD32258	1
LD32260	1
LD32282	1
LD32311	1
LD32354	1
LD32366	1
LD32381	1
LD32407	1
LD32407	1.7
LD32410	1
LD32416	0.285714285714286
LD32459	3.5
LD32469	3.5
LD32520	1
LD32539	1
LD32549	1
LD32555	3.5
LD32609	1
LD32631	1
LD32660	1
LD32687	1
LD32717	1
LD32732	0.285714285714286
LD32741	1
LD32747	1
LD32755	0.285714285714286
LD32760	1
LD32761	1.7
LD32783	1
LD32788	1
LD32860	1
LD32873	1
LD32923	0.285714285714286
LD32943	0.285714285714286
LD32974	1
LD32979	1
LD33016	1
LD33040	0.285714285714286
LD33044	1
LD33046	1
LD33051	0.285714285714286
LD33058	1
LD33076	1
LD33081	1
LD33094	1
LD33103	1
LD33138	3.5
LD33178	1
LD33192	1
LD33192	1.7
LD33215	1
LD33222	0.285714285714286
LD33266	1
LD33274	1
LD33276	1
LD33277	1
LD33316	1
LD33318	1
LD33329	1
LD33331	1
LD33339	1
LD33348	1
LD33358	1
LD33361	1
LD33385	1
LD33386	1
LD33388	1
LD33443	1.7
LD33453	1
LD33458	1
LD33460	1
LD33470	1
LD33485	1
LD33590	1
LD33652	1
LD33666	1
LD33689	1
LD33695	1
LD33732	1
LD33749	1
LD33756	1
LD33759	1
LD33761	1
LD33778	1
LD33804	1
LD33828	1
LD33829	1
LD33841	1
LD33852	1
LD33876	1
LD33880	1
LD33976	1
LD33980	1
LD34072	1
LD34105	1
LD34134	1
LD34139	1
LD34142	1
LD34147	1
LD34154	1
LD34157	1
LD34179	1
LD34181	1
LD34192	1
LD34202	1
LD34211	1
LD34214	1
LD34217	1
LD34229	1
LD34250	1
LD34262	1
LD34308	1
LD34334	1
LD34343	1
LD34385	1
LD34388	0.285714285714286
LD34406	3.5
LD34429	1
LD34436	1
LD34444	1
LD34461	1
LD34464	1
LD34475	1
LD34489	1
LD34536	1
LD34542	3.5
LD34544	1
LD34564	1
LD34576	0.285714285714286
LD34582	1
LD34623	3.5
LD34757	1
LD34766	1
LD34777	1
LD34806	0.285714285714286
LD34829	1
LD34846	0.285714285714286
LD34889	1
LD34893	0.285714285714286
LD34905	1
LD34931	0.285714285714286
LD34980	1
LD34994	0.285714285714286
LD35003	1
LD35051	1
LD35060	3.5
LD35087	1
LD35132	1
LD35137	1
LD35138	1
LD35151	1
LD35155	1
LD35174	1
LD35207	1
LD35209	1
LD35215	1
LD35220	1
LD35228	1
LD35237	1
LD35238	1
LD35248	1
LD35257	1
LD35279	1
LD35285	1
LD35289	0.285714285714286
LD35296	1
LD35326	1
LD35329	1
LD35341	1
LD35343	0.285714285714286
LD35363	0.285714285714286
LD35371	3.5
LD35413	1
LD35420	1
LD35434	1
LD35441	1
LD35461	1
LD35474	1
LD35502	0.285714285714286
LD35507	1
LD35517	3.5
LD35592	0.285714285714286
LD35637	1
LD35644	1
LD35669	0.285714285714286
LD35689	1
LD35705	1
LD35711	1
LD35730	1
LD35753	1
LD35811	1
LD35834	1
LD35843	0.285714285714286
LD35854	1
LD35885	0.285714285714286
LD35896	0.285714285714286
LD35927	0.285714285714286
LD35950	1
LD35981	0.285714285714286
LD35990	1
LD36006	1
LD36009	1
LD36016	1
LD36024	1
LD36031	1
LD36052	1
LD36057	1
LD36080	0.285714285714286
LD36089	0.285714285714286
LD36116	0.285714285714286
LD36125	1
LD36157	1
LD36161	1
LD36162	1
LD36173	1
LD36177	0.285714285714286
LD36178	0.285714285714286
LD36183	1
LD36231	1
LD36241	1
LD36256	1
LD36273	3.5
LD36294	1
LD36304	1
LD36356	1
LD36375	1
LD36407	1
LD36410	1
LD36412	1
LD36415	1
LD36454	1
LD36501	1
LD36516	0.285714285714286
LD36528	0.285714285714286
LD36546	1
LD36562	1
LD36566	1
LD36568	0.285714285714286
LD36616	1
LD36653	1
LD36705	1
LD36719	1
LD36721	1
LD36772	1
LD36812	1
LD36817	1
LD36843	1
LD36863	1
LD36923	1
LD36945	1
LD37002	1
LD37006	1
LD37010	1
LD37025	1
LD37115	1
LD37137	1
LD37139	1
LD37158	1
LD37169	1
LD37170	1
LD37189	1
LD37196	1
LD37206	1
LD37218	1
LD37221	1
LD37240	1
LD37241	1
LD37258	3.5
LD37276	1
LD37277	1
LD37279	0.285714285714286
LD37349	3.5
LD37351	1
LD37358	1
LD37409	1
LD37466	1
LD37470	0.285714285714286
LD37516	1
LD37523	1
LD37574	0.285714285714286
LD37618	1
LD37668	1
LD37690	1
LD37702	1
LD37736	1
LD37765	1
LD37787	1
LD37788	1
LD37852	1
LD37855	1
LD37921	0.285714285714286
LD37956	1
LD37974	1
LD37985	1
LD37992	1
LD38004	1
LD38046	1
LD38070	0.285714285714286
LD38082	1
LD38087	3.5
LD38109	1
LD38128	0.285714285714286
LD38130	1
LD38226	1
LD38235	0.285714285714286
LD38241	1
LD38259	1
LD38333	1
LD38352	1
LD38355	0.285714285714286
LD38375	1
LD38389	3.5
LD38414	1
LD38432	1
LD38433	1
LD38452	1
LD38464	0.285714285714286
LD38495	1
LD38503	1
LD38533	1
LD38553	1
LD38554	1
LD38576	1
LD38584	1
LD38592	1
LD38634	1
LD38670	1
LD38671	1
LD38682	1
LD38705	1
LD38718	3.5
LD38742	1
LD38749	1
LD38760	1
LD38807	1
LD38816	1
LD38858	0.285714285714286
LD38872	1
LD38910	1
LD38919	1
LD39025	1
LD39062	1
LD39079	1
LD39082	1
LD39110	0.285714285714286
LD39136	1
LD39166	1
LD39167	1
LD39177	1
LD39211	1
LD39232	1
LD39243	1
LD39266	1
LD39271	1
LD39308	1
LD39323	1
LD39377	1
LD39385	1
LD39409	1
LD39445	1.7
LD39455	1
LD39460	1.7
LD39479	1
LD39491	1
LD39537	1
LD39545	1.7
LD39559	1.7
LD39576	1
LD39604	1
LD39612	1.7
LD39624	1.7
LD39658	1.7
LD39664	1.7
LD39811	1.7
LD39815	1.7
LD39850	1.7
LD39904	1
LD39912	1.7
LD39923	1.7
LD39933	1.7
LD39940	1
LD39959	1.7
LD39967	1.7
LD39986	1.7
LD40005	1.7
LD40049	1.7
LD40063	1
LD40094	1
LD40095	1
LD40103	1.7
LD40134	1.7
LD40136	0.285714285714286
LD40160	1.7
LD40170	1
LD40177	1.7
LD40196	1.7
LD40216	1
LD40224	1
LD40262	1
LD40271	1.7
LD40282	1.7
LD40292	1.7
LD40310	1
LD40324	1.7
LD40326	1.7
LD40339	1
LD40351	1
LD40380	1
LD40412	1
LD40415	1.7
LD40450	1.7
LD40453	1.7
LD40460	1.7
LD40483	1
LD40489	1.7
LD40493	1
LD40495	0.285714285714286
LD40504	1
LD40565	1.7
LD40589	1.7
LD40663	1
LD40680	1
LD40692	1.7
LD40702	1.7
LD40707	1.7
LD40717	1.7
LD40728	1.7
LD40758	1
LD40766	1.7
LD40776	1
LD40777	1.7
LD40782	1
LD40792	0.285714285714286
LD40801	1
LD40802	0.285714285714286
LD40824	1
LD40833	1
LD40846	1.7
LD40851	1.7
LD40883	1
LD40940	1.7
LD40944	1.7
LD40966	0.285714285714286
LD40977	1
LD41005	1.7
LD41023	0.285714285714286
LD41062	1.7
LD41072	1.7
LD41157	1
LD41184	0.285714285714286
LD41207	1.7
LD41209	1.7
LD41216	1.7
LD41224	1.7
LD41227	3.5
LD41235	1.7
LD41276	1
LD41311	1.7
LD41365	1
LD41384	1.7
LD41392	1.7
LD41395	0.285714285714286
LD41421	1
LD41427	1.7
LD41433	1.7
LD41462	1.7
LD41464	0.285714285714286
LD41490	1.7
LD41491	1.7
LD41494	1.7
LD41558	1.7
LD41588	1.7
LD41606	1.7
LD41613	0.285714285714286
LD41624	1
LD41715	1
LD41718	1
LD41739	1
LD41750	1.7
LD41760	1
LD41761	1.7
LD41783	1
LD41803	1
LD41821	1
LD41827	0.285714285714286
LD41848	0.285714285714286
LD41866	1.7
LD41868	1.7
LD41874	0.285714285714286
LD41905	0.285714285714286
LD41907	0.285714285714286
LD41911	1.7
LD41918	1
LD41932	1.7
LD41958	1.7
LD41963	1.7
LD41978	1.7
LD42024	1.7
LD42035	1.7
LD42037	1.7
LD42046	1.7
LD42056	1.7
LD42058	1
LD42063	1.7
LD42113	1
LD42119	1
LD42146	1.7
LD42147	1.7
LD42159	1.7
LD42169	1.7
LD42214	1.7
LD42227	1.7
LD42239	0.285714285714286
LD42267	1
LD42274	1.7
LD42284	1.7
LD42289	1
LD42296	1
LD42301	1.7
LD42327	0.285714285714286
LD42374	1
LD42380	1
LD42420	1.7
LD42550	1
LD42588	1.7
LD42595	1.7
LD42626	1.7
LD42637	1.7
LD42676	1
LD42723	0.285714285714286
LD42724	1
LD42739	1
LD42756	0.285714285714286
LD42771	0.285714285714286
LD42783	1
LD42828	0.285714285714286
LD42896	0.285714285714286
LD42903	0.285714285714286
LD42916	1
LD43003	0.285714285714286
LD43023	1
LD43035	1
LD43045	1
LD43047	1
LD43050	1
LD43055	0.285714285714286
LD43057	0.285714285714286
LD43063	0.285714285714286
LD43096	0.285714285714286
LD43101	1
LD43109	1
LD43147	0.285714285714286
LD43152	0.285714285714286
LD43161	1
LD43171	0.285714285714286
LD43174	0.285714285714286
LD43175	0.285714285714286
LD43196	0.285714285714286
LD43225	1
LD43270	0.285714285714286
LD43276	1
LD43280	0.285714285714286
LD43293	0.285714285714286
LD43328	1
LD43341	0.285714285714286
LD43392	1
LD43412	0.285714285714286
LD43457	1
LD43460	1
LD43488	0.285714285714286
LD43495	1
LD43519	0.285714285714286
LD43531	1
LD43541	0.285714285714286
LD43551	0.285714285714286
LD43554	0.285714285714286
LD43558	1
LD43561	1
LD43563	0.285714285714286
LD43581	0.285714285714286
LD43649	1
LD43650	0.285714285714286
LD43670	0.285714285714286
LD43674	0.285714285714286
LD43682	1
LD43683	1
LD43687	1
LD43688	1
LD43716	1
LD43724	0.285714285714286
LD43729	1
LD43816	0.285714285714286
LD43819	0.285714285714286
LD43863	0.285714285714286
LD43867	1
LD43873	0.285714285714286
LD43876	1
LD43883	1
LD43891	0.285714285714286
LD43943	0.285714285714286
LD43989	1
LD44022	0.285714285714286
LD44026	0.285714285714286
LD44032	0.285714285714286
LD44053	0.285714285714286
LD44072	1
LD44083	0.285714285714286
LD44094	0.285714285714286
LD44124	0.285714285714286
LD44138	1
LD44162	0.285714285714286
LD44171	1
LD44179	1
LD44182	0.285714285714286
LD44187	3.5
LD44201	1
LD44205	0.285714285714286
LD44207	0.285714285714286
LD44220	1
LD44221	1
LD44234	1
LD44235	0.285714285714286
LD44245	1
LD44262	0.285714285714286
LD44267	0.285714285714286
LD44273	0.285714285714286
LD44304	1
LD44305	0.285714285714286
LD44327	1
LD44361	0.285714285714286
LD44370	1
LD44376	1
LD44381	1
LD44422	3.5
LD44438	1
LD44443	0.285714285714286
LD44491	0.285714285714286
LD44494	0.285714285714286
LD44495	0.285714285714286
LD44506	1
LD44515	0.285714285714286
LD44526	1
LD44530	0.285714285714286
LD44584	0.285714285714286
LD44591	1
LD44595	0.285714285714286
LD44641	0.285714285714286
LD44652	0.285714285714286
LD44686	1
LD44720	0.285714285714286
LD44732	1
LD44733	1
LD44757	1
LD44762	0.285714285714286
LD44769	0.285714285714286
LD44770	1
LD44791	0.285714285714286
LD44795	1
LD44801	1
LD44813	0.285714285714286
LD44814	0.285714285714286
LD44815	1
LD44824	1
LD44887	0.285714285714286
LD44914	0.285714285714286
LD44919	0.285714285714286
LD44960	0.285714285714286
LD44970	0.285714285714286
LD44979	0.285714285714286
LD44982	0.285714285714286
LD44987	0.285714285714286
LD44990	1
LD45021	0.285714285714286
LD45056	1
LD45081	1
LD45115	1
LD45152	1
LD45157	1
LD45195	1
LD45221	1
LD45234	1
LD45235	0.285714285714286
LD45244	1
LD45245	0.285714285714286
LD45246	0.285714285714286
LD45253	1
LD45254	0.285714285714286
LD45266	1
LD45273	0.285714285714286
LD45279	0.285714285714286
LD45288	0.285714285714286
LD45302	1
LD45317	1
LD45324	1
LD45339	1
LD45348	0.285714285714286
LD45352	1
LD45365	1
LD45391	1
LD45403	1
LD45430	1
LD45439	1
LD45447	0.285714285714286
LD45449	1
LD45505	0.285714285714286
LD45549	1
LD45559	1
LD45581	1
LD45596	0.285714285714286
LD45603	0.285714285714286
LD45607	1
LD45641	0.285714285714286
LD45662	1
LD45682	0.285714285714286
LD45706	1
LD45730	0.285714285714286
LD45742	1
LD45751	1
LD45754	1
LD45758	1
LD45766	1
LD45768	1
LD45776	0.285714285714286
LD45826	1
LD45836	1
LD45843	1
LD45860	0.285714285714286
LD45889	1
LD45906	0.285714285714286
LD45918	0.285714285714286
LD45949	1
LD45950	0.285714285714286
LD45965	1
LD46023	1
LD46049	1
LD46058	0.285714285714286
LD46083	1
LD46084	3.5
LD46144	1
LD46156	1
LD46167	0.285714285714286
LD46175	1
LD46221	1
LD46223	1
LD46228	0.285714285714286
LD46233	1
LD46238	0.285714285714286
LD46256	1
LD46263	1
LD46269	1
LD46272	1
LD46284	1
LD46305	1
LD46306	1
LD46328	1
LD46333	1
LD46336	1
LD46344	1
LD46351	1
LD46359	1
LD46360	1
LD46389	1
LD46404	1
LD46418	1
LD46437	1
LD46453	1
LD46465	1
LD46483	1
LD46494	1
LD46502	1
LD46512	1
LD46530	1
LD46533	1
LD46538	1
LD46584	1
LD46585	1
LD46590	1
LD46604	1
LD46618	1
LD46621	1
LD46629	1
LD46661	1
LD46678	1
LD46713	1
LD46714	1
LD46723	1
LD46744	1
LD46758	1
LD46760	1
LD46766	1
LD46767	1
LD46805	1
LD46811	3.5
LD46817	1
LD46840	3.5
LD46853	1
LD46862	1
LD46863	1
LD46868	1
LD46870	1
LD46912	3.5
LD46935	1
LD46938	1
LD46952	1
LD46954	1
LD47007	1
LD47054	1
LD47064	1
LD47115	1
LD47143	1
LD47223	1
LD47230	1
LD47264	1
LD47277	1
LD47289	1
LD47309	1
LD47312	1
LD47348	1
LD47350	1
LD47384	1
LD47387	1
LD47396	1
LD47410	1
LD47413	1
LD47425	1
LD47433	1
LD47441	1
LD47455	1
LD47460	1
LD47462	1
LD47466	1
LD47477	1
LD47479	1
LD47508	1
LD47509	1
LD47515	1
LD47517	1
LD47530	1
LD47533	1
LD47536	1
LD47540	1
LD47544	1
LD47549	1
LD47550	1
LD47553	1
LD47563	1
LD47568	1
LD47579	1
LD47602	1
LD47606	1
LD47616	1
LD47622	1
LD47625	1
LD47639	1
LD47649	1
LD47668	1
LD47671	1
LD47713	1
LD47721	1
LD47733	1
LD47736	1
LD47774	1
LD47780	1
LD47795	1
LD47819	1
LD47843	1
LD47881	1
LD47893	1
LD47919	1
LD47924	1
LD47926	1
LD47929	1
LD47944	1
LD47970	1
LD47989	1
LD47990	1
LD47993	1
LD47995	1
LD48005	1
LD48007	1
LD48009	1
LD48010	1
LD48015	1
LD48030	1
LD48048	1
LD48056	1
LD48089	1
LP01044	1
LP01106	1
LP01149	1
LP01162	1
LP01187	1
LP01188	1
LP01207	1
LP01280	1
LP01328	1
LP01332	1
LP01339	1
LP01340	1
LP01394	1
LP01469	1
LP01487	1
LP01553	3.5
LP01559	1.7
LP01562	1
LP01585	1
LP01609	1
LP01629	1
LP01646	1
LP01670	1
LP01681	1
LP01749	1
LP01766	1
LP01967	1
LP02021	1
LP02106	1
LP02120	1
LP02193	1
LP02196	1
LP02252	1
LP02352	1
LP02515	1
LP02521	1
LP02557	1
LP02570	1
LP02603	1
LP02641	1
LP02658	1
LP02726	1
LP02728	0.25
LP02734	0.25
LP02833	1
LP02895	1
LP02909	0.25
LP02978	0.25
LP02988	0.25
LP02993	1
LP03005	1
LP03039	1
LP03067	0.25
LP03070	1
LP03102	1
LP03104	0.25
LP03106	1
LP03126	0.25
LP03135	1
LP03138	1
LP03146	0.25
LP03255	1
LP03261	3.5
LP03268	1
LP03275	0.25
LP03286	1
LP03320	1
LP03459	1
LP03547	1
LP03565	1.7
LP03571	1
LP03649	1
LP03706	1
LP03809	1
LP03829	1
LP03982	3.5
LP04011	1
LP04345	1
LP04383	1
LP04395	1
LP04475	0.25
LP04725	1
LP04791	1.7
LP04889	1
LP04941	1
LP04958	0.25
LP04971	3.5
LP05054	1
LP05062	1
LP05116	1
LP05177	1
LP05202	1
LP05220	1
LP05310	0.25
LP05330	1
LP05416	1.7
LP05421	1
LP05464	1
LP05465	1.7
LP05492	0.25
LP05501	1
LP05579	0.25
LP05614	0.25
LP05645	1
LP05693	1
LP05733	0.25
LP05733	1.7
LP05745	1
LP05763	0.25
LP05860	1
LP05865	1
LP05915	1
LP05929	0.25
LP06006	1
LP06017	1
LP06072	0.25
LP06338	3.5
LP06350	1
LP06581	1
LP06732	1
LP06813	1
LP06937	1
LP07057	1
LP07079	1
LP07116	1
LP07125	0.25
LP07226	0.25
LP07235	1
LP07247	3.5
LP07267	3.5
LP07340	1
LP07342	1
LP07441	1
LP07504	1
LP07538	0.25
LP07547	0.25
LP07553	0.25
LP07553	1.7
LP07668	1
LP07727	0.25
LP07759	0.25
LP07806	3.5
LP07813	1
LP07906	1
LP07922	1
LP07955	1
LP08070	1
LP08082	1
LP08352	1
LP08452	1
LP08456	0.25
LP08544	1
LP08566	1
LP08646	1
LP08647	3.5
LP08674	1
LP08709	0.25
LP08712	1
LP08717	1
LP08815	1
LP08842	3.5
LP08894	1
LP08921	1
LP08941	3.5
LP09056	1
LP09189	1
LP09309	1
LP09339	1
LP09416	1
LP09564	1
LP09632	1
LP09690	1
LP09696	1
LP09717	0.25
LP09756	1
LP09811	1
LP09837	0.25
LP09908	0.25
LP09923	1
LP09975	1
LP10047	1
LP10092	1
LP10120	1
LP10161	1
LP10272	1
LP10445	0.25
LP10481	1
LP10580	1
LP10725	0.25
LP10803	0.25
LP10852	0.25
LP10861	0.25
LP10887	3.5
LP10895	0.25
LP10918	0.25
LP10922	1
LP10936	1
LP11031	1.7
LP11035	1
LP11057	0.25
LP11089	1
LP11145	1
LP11159	1
LP11234	0.25
